客户号,probability,label,decision_zone,gray_score,review_reason,fold_std,model_range,missing_ratio,shap_top3_features,shap_top3_values,cf_feature,cf_delta,cf_type,radar_信息完整度,radar_经营活跃度,radar_银企关系,radar_财务稳健性,radar_资质信用,radar_规模体量
49013,0.9262067,1,自动通过,0.1263,,0.0205,0.0432,0.0682,近12个月收票金额|结算分|基础健康分,-0.3219|0.2467|-0.1475,基础健康分,0.0485,策略调整,75.6,51.2,50.0,72.0,57.2,87.4
49014,0.90204689,1,自动通过,0.1809,,0.0271,0.0502,0.0227,存款分|基础健康分|最新一期年报财务费用除以刚性负债,-0.4441|0.2854|-0.2182,结算分,0.0536,策略调整,82.2,64.6,50.0,41.5,51.7,60.4
49015,0.86845782,1,自动通过,0.1626,,0.019,0.0044,0.5455,结算分|存款分|纳税总额排名_按市_值,-0.6084|-0.2762|0.2099,结算分,0.0718,策略调整,75.9,76.7,50.0,55.1,100.0,100.0
49016,0.86304819,1,自动通过,0.1912,,0.0238,0.0059,0.1364,基础健康分|结算分|存款我行占比,-0.8284|0.1802|0.1374,基础健康分,0.1008,策略调整,62.6,66.2,50.0,84.8,67.0,64.8
49017,0.86213544,1,自动通过,0.3258,,0.0369,0.068,0.1818,missing_pattern_freq|最新一期年报营收增长率|是否总行战略客户,-0.4124|-0.3554|0.3316,标签_近12个月开票金额,-0.0529,核验,24.4,70.4,50.0,12.1,100.0,72.5
49018,0.86364874,1,自动通过,0.2468,,0.0201,0.0512,0.5455,结算分|是否总行战略客户|存款分,-0.5965|0.372|0.2762,存款我行占比,-0.1187,策略调整,67.8,78.2,50.0,50.8,100.0,21.5
49019,0.93173587,1,自动通过,0.0518,,0.0098,0.0151,0.1136,结算分|基础健康分|存款我行占比,-0.4492|0.399|0.1683,结算分,0.0376,策略调整,69.3,61.8,50.0,100.0,60.0,67.3
49020,0.44076683,0,自动拒绝,0.1419,,0.0168,0.061,0.5455,结算分|存款我行占比|基础健康分,-1.0051|-0.4479|-0.3628,,0.0,,70.0,52.7,50.0,48.5,59.2,51.9
49021,0.72098005,0,人工复核,0.5202,概率不确定|资料不足,0.0258,0.0464,0.5227,结算分|存款我行占比|基础健康分,-0.7262|0.3247|-0.2581,结算分,0.1744,策略调整,71.7,49.0,50.0,50.6,49.3,50.9
49022,0.94114152,1,自动通过,0.0996,,0.0171,0.0322,0.0909,基础健康分|结算分|存款分,0.4181|0.3012|-0.267,存款我行占比,-0.03,策略调整,78.9,48.3,50.0,45.4,65.7,69.0
49023,0.86730531,1,自动通过,0.3664,,0.0549,0.0668,0.1818,基础健康分|存款分|结算分,-0.495|0.3101|0.2756,基础健康分,0.0713,策略调整,43.5,53.8,50.0,61.7,77.9,82.2
49024,0.97599038,1,自动通过,0.035,,0.0057,0.0119,0.0682,结算分|基础健康分|最新一期年报资产负债率,0.3154|0.3031|-0.2109,最新一期年报资产负债率,0.0079,策略调整,77.4,82.8,50.0,53.8,69.4,50.7
49025,0.91455458,1,自动通过,0.0907,,0.0213,0.018,0.0682,结算分|存款分|收款对手客户数,0.2841|-0.1777|-0.1553,最新一期年报资产合计,-0.0908,核验,84.7,46.2,50.0,67.5,68.6,61.2
49026,0.98840718,1,自动通过,0.0107,,0.0028,0.0014,0.0227,基础健康分|结算分|存款分,0.5625|0.3074|0.2858,,0.0,,90.9,89.9,50.0,78.2,70.3,100.0
49027,0.82911506,1,风险提示,0.3159,高风险抽检,0.0293,0.0278,0.0455,基础健康分|结算分|存款我行占比,-0.6004|0.3302|0.2615,基础健康分,0.0871,策略调整,80.4,41.7,50.0,48.4,35.8,92.9
49028,0.965261,1,自动通过,0.0137,,0.0038,0.0015,0.1364,基础健康分|missing_pattern_freq|存款我行占比,0.5918|-0.1672|0.1498,结算分,0.0104,策略调整,56.5,78.8,50.0,96.1,74.1,62.3
49029,0.77018051,1,人工复核,0.4547,概率不确定|资料不足,0.0361,0.0194,0.6136,结算分|存款分|存款我行占比,-0.5244|-0.2942|0.2574,近12个月收票金额,0.0598,核验,60.9,80.9,50.0,51.1,68.6,99.6
49030,0.7875313,1,风险提示,0.4111,高风险抽检,0.0267,0.0349,0.6136,结算分|missing_pattern_freq|最新一期年报营收增长率,-0.5294|-0.2042|-0.1861,职工人数,-0.0785,核验,47.2,45.1,50.0,49.3,70.6,94.4
49031,0.96543097,1,自动通过,0.0432,,0.0062,0.0164,0.0455,基础健康分|结算分|存款我行占比,0.5131|0.3823|0.1906,存款分,-0.0452,策略调整,85.6,41.0,50.0,84.0,83.6,53.0
49032,0.83904936,1,自动通过,0.2901,,0.0203,0.0433,0.5455,结算分|存款分|纳税总额排名_按市_值,-0.6575|-0.3016|0.2055,结算分,0.0821,策略调整,76.8,72.1,50.0,54.3,100.0,85.9
49033,0.77624813,1,人工复核,0.4548,概率不确定,0.0331,0.0344,0.3409,最新一期年报营收增长率|missing_pattern_freq|结算分,-0.3737|-0.3485|0.2392,标签_近12个月开票金额,-0.0551,核验,32.7,68.8,50.0,34.0,53.3,37.2
49034,0.92944679,1,自动通过,0.0702,,0.0111,0.0246,0.0,基础健康分|存款我行占比|存款分,0.5494|-0.3315|-0.3238,近12个月收票金额,0.0481,核验,85.9,61.7,50.0,81.7,48.7,74.3
49035,0.9664472,1,自动通过,0.0337,,0.008,0.0065,0.0455,结算分|小类_te|存款分,0.3326|0.2304|0.208,基础健康分,0.0115,策略调整,85.0,73.2,50.0,86.2,64.7,35.9
49036,0.94450168,1,自动通过,0.0659,,0.0097,0.0245,0.0455,结算分|是否总行战略客户|基础健康分,0.4037|0.3601|0.2449,近12个月收票金额,0.0272,核验,83.9,50.1,50.0,66.2,100.0,61.8
49037,0.82289854,1,风险提示,0.37,高风险抽检,0.0241,0.065,0.1136,最新一期年报营收增长率|基础健康分|missing_pattern_freq,-0.4075|-0.3574|-0.2564,存款我行占比,-0.0468,策略调整,49.7,68.1,50.0,25.4,68.2,43.4
49038,0.9497912,1,自动通过,0.0618,,0.0099,0.0213,0.0909,基础健康分|结算分|missing_pattern_freq,0.3747|0.3299|-0.2283,基础健康分,-0.0286,策略调整,51.7,36.5,50.0,100.0,55.6,74.3
49039,0.97920057,1,自动通过,0.0252,,0.0037,0.0094,0.0227,基础健康分|结算分|存款我行占比,0.5013|0.2607|0.1121,结算分,0.0078,策略调整,79.7,76.6,50.0,94.5,74.5,73.8
49040,0.78304586,1,人工复核,0.4531,概率不确定|资料不足,0.0322,0.0452,0.5227,是否总行战略客户|结算分|存款我行占比,0.8817|-0.6974|-0.2739,结算分,0.143,策略调整,76.8,75.0,50.0,55.8,100.0,22.5
49041,0.70861595,0,人工复核,0.5537,概率不确定|资料不足,0.0563,0.026,0.5455,结算分|基础健康分|存款分,-0.7006|-0.25|0.2261,结算分,0.1526,策略调整,66.2,46.6,50.0,49.8,48.3,25.0
49042,0.42363915,0,自动拒绝,0.2,,0.0272,0.0789,0.6364,结算分|存款我行占比|基础健康分,-0.7304|-0.4622|-0.3259,,0.0,,55.4,39.2,50.0,54.3,39.2,81.1
49043,0.94470378,1,自动通过,0.0517,,0.0112,0.0121,0.1136,结算分|基础健康分|存款我行占比,0.2723|0.1527|0.1365,销售归行率,0.0268,策略调整,84.9,65.5,50.0,89.5,51.2,39.7
49044,0.91517662,1,自动通过,0.084,,0.0203,0.0154,0.1364,基础健康分|结算分|存款我行占比,-0.4956|0.2496|0.1768,基础健康分,0.0418,策略调整,62.4,62.5,50.0,96.9,89.2,53.7
49045,0.82055369,1,风险提示,0.3685,高风险抽检,0.0227,0.0634,0.0227,存款分|结算分|存款我行占比,-0.3809|0.3747|-0.3259,存款我行占比,0.0759,策略调整,84.1,69.7,50.0,28.8,34.7,58.3
49046,0.98432017,1,自动通过,0.02,,0.0041,0.0052,0.0909,基础健康分|结算分|存款我行占比,0.6248|0.3813|0.19,,0.0,,82.9,76.6,50.0,92.4,67.1,74.7
49047,0.97667876,1,自动通过,0.0231,,0.0061,0.0031,0.1136,基础健康分|结算分|missing_pattern_freq,0.4511|0.2986|-0.2406,存款分,-0.0199,策略调整,53.6,84.0,50.0,80.7,63.3,78.2
49048,0.86925481,1,自动通过,0.1869,,0.0135,0.0328,0.5909,结算分|存款我行占比|最新一期年报营收增长率,-0.4981|0.2885|-0.2082,结算分,0.0403,策略调整,59.5,82.1,50.0,50.8,66.8,91.4
49049,0.80141507,1,风险提示,0.3745,高风险抽检,0.0322,0.02,0.5455,结算分|存款我行占比|基础健康分,-0.6564|0.2884|-0.2408,结算分,0.1046,策略调整,69.8,56.1,50.0,53.1,64.2,63.6
49050,0.95177382,1,自动通过,0.0458,,0.0129,0.0047,0.0909,基础健康分|结算分|missing_pattern_freq,0.3893|0.3303|-0.2385,存款分,-0.0611,策略调整,50.9,85.3,50.0,44.6,100.0,66.1
49051,0.92011227,1,自动通过,0.0684,,0.0177,0.0103,0.1364,结算分|missing_pattern_freq|纳税总额排名_按市_值,0.3292|-0.2257|0.1665,存款分,-0.0584,策略调整,45.6,56.1,50.0,77.3,91.4,47.9
49052,0.87176077,1,自动通过,0.1891,,0.0179,0.0291,0.1136,最新一期年报财务费用除以刚性负债|结算分|存款我行占比,-0.3357|0.3141|-0.3052,存款我行占比,0.0369,策略调整,67.4,82.6,50.0,66.9,58.0,58.8
49053,0.82673258,1,自动通过,0.2648,,0.016,0.0167,0.5682,结算分|基础健康分|纳税总额排名_按市_值,-0.6519|-0.2317|0.2136,结算分,0.0995,策略调整,72.0,64.0,50.0,49.1,100.0,66.6
49054,0.9722912,1,自动通过,0.0209,,0.0069,0.0002,0.0682,结算分|基础健康分|标签_近12个月开票金额,0.2913|0.2341|0.1898,标签_近12个月开票金额,-0.0181,核验,65.0,84.7,50.0,96.2,56.4,70.8
49055,0.37637474,0,人工复核,0.4882,模型分歧,0.0627,0.2014,0.2955,结算分|基础健康分|存款我行占比,-0.7129|-0.4755|-0.3537,,0.0,,45.3,29.3,50.0,47.2,40.2,47.6
49056,0.77597767,1,人工复核,0.544,概率不确定|资料不足,0.0398,0.08,0.6136,结算分|小类_te|基础健康分,-0.5157|0.2524|-0.2458,结算分,0.1023,策略调整,54.7,67.8,50.0,43.1,59.4,16.8
49057,0.81529571,1,风险提示,0.436,高风险抽检,0.0493,0.0474,0.3182,结算分|基础健康分|最新一期年报毛利率,-0.4682|0.397|0.2301,存款我行占比,-0.12,策略调整,47.7,53.2,50.0,100.0,60.1,53.4
49058,0.83714234,1,风险提示,0.3456,高风险抽检,0.0235,0.071,0.2727,最新一期年报营收增长率|missing_pattern_freq|基础健康分,-0.4413|-0.407|0.3698,存款分,-0.0982,策略调整,26.5,64.7,50.0,2.1,54.3,100.0
49059,0.67427179,0,自动拒绝,0.4097,,0.0378,0.0179,0.7045,结算分|小类_te|存款分,-0.4634|-0.2864|-0.2454,存款我行占比,-0.0741,策略调整,54.9,44.9,50.0,56.8,49.3,67.5
49060,0.79927176,1,人工复核,0.4614,概率不确定,0.0445,0.05,0.25,missing_pattern_freq|最新一期年报营收增长率|基础健康分,-0.4258|-0.4208|0.4077,职工人数,-0.0726,核验,24.3,51.5,50.0,8.2,47.8,100.0
49061,0.93999521,1,自动通过,0.0589,,0.0084,0.0225,0.0455,结算分|存款我行占比|职工人数,0.2231|0.2197|-0.1045,基础健康分,0.0279,策略调整,81.5,62.8,50.0,88.3,62.1,56.6
49062,0.97345001,1,自动通过,0.0314,,0.0046,0.0117,0.1136,基础健康分|结算分|最新一期年报财务费用除以刚性负债,0.4656|0.2729|-0.2314,存款分,-0.0307,策略调整,53.3,100.0,50.0,33.1,95.7,76.4
49063,0.4275188,0,自动拒绝,0.1136,,0.0286,0.0186,0.6136,结算分|存款我行占比|基础健康分,-0.9171|-0.3716|-0.3462,,0.0,,69.9,32.3,50.0,56.3,40.6,62.3
49064,0.85213136,1,自动通过,0.2539,,0.0335,0.0121,0.1364,基础健康分|结算分|missing_pattern_freq,-0.6776|0.2813|-0.1764,基础健康分,0.1068,策略调整,55.2,73.3,50.0,90.7,63.4,47.5
49065,0.84588842,1,自动通过,0.2534,,0.0196,0.0303,0.0682,基础健康分|结算分|收款对手客户数,-0.7002|-0.1979|0.0868,基础健康分,0.1033,策略调整,71.0,82.2,50.0,85.6,33.6,59.4
49066,0.96008846,1,自动通过,0.0278,,0.0054,0.0077,0.0455,基础健康分|结算分|最新一期年报财务费用除以刚性负债,0.5769|0.4252|-0.2112,存款分,-0.0414,策略调整,84.1,40.7,50.0,63.7,63.9,59.1
49067,0.93325952,1,自动通过,0.0505,,0.0111,0.0115,0.0455,基础健康分|结算分|存款我行占比,0.3347|0.3095|-0.3038,存款我行占比,0.0444,策略调整,82.6,69.7,50.0,98.5,55.1,82.4
49068,0.79356184,1,风险提示,0.3765,高风险抽检,0.0245,0.025,0.5227,结算分|存款我行占比|基础健康分,-0.6971|0.255|-0.2438,结算分,0.1153,策略调整,76.6,69.6,50.0,54.4,57.8,40.9
49069,0.69934795,0,人工复核,0.5067,概率不确定|资料不足,0.0352,0.0505,0.5455,结算分|基础健康分|存款我行占比,-0.8421|-0.33|-0.2699,结算分,0.2004,策略调整,74.7,84.1,50.0,50.5,69.0,69.6
49070,0.98729749,1,自动通过,0.0127,,0.0032,0.0021,0.0682,基础健康分|结算分|是否总行战略客户,0.6366|0.3645|0.2371,,0.0,,87.8,79.0,50.0,100.0,100.0,69.4
49071,0.70710102,0,人工复核,0.4773,概率不确定|资料不足,0.031,0.0278,0.7273,结算分|基础健康分|小类_te,-0.499|-0.2669|-0.1867,职工人数,-0.0549,核验,66.6,49.1,50.0,56.7,54.5,64.3
49072,0.42988124,0,自动拒绝,0.2438,,0.0438,0.0749,0.6591,结算分|存款我行占比|基础健康分,-0.7564|-0.3346|-0.3188,,0.0,,55.1,32.0,50.0,54.3,41.3,52.8
49073,0.77414233,1,人工复核,0.5138,概率不确定,0.0388,0.0593,0.0909,存款我行占比|存款分|基础健康分,-0.3637|-0.352|0.3282,职工人数,-0.0669,核验,51.3,58.8,50.0,51.3,43.8,63.8
49074,0.66960173,0,人工复核,0.5921,概率不确定|模型分歧|资料不足,0.0424,0.1373,0.6136,结算分|小类_te|基础健康分,-0.5602|-0.2488|-0.2294,结算分,0.0838,策略调整,60.5,75.7,50.0,50.1,41.1,26.2
49075,0.82581328,1,风险提示,0.3412,高风险抽检,0.0235,0.0513,0.5682,结算分|小类_te|存款我行占比,-0.5888|-0.2554|0.2258,结算分,0.0698,策略调整,74.6,62.1,50.0,52.4,87.1,100.0
49076,0.400111,0,自动拒绝,0.1052,,0.0212,0.0277,0.7045,结算分|存款我行占比|基础健康分,-0.7514|-0.3765|-0.3611,,0.0,,53.1,42.2,50.0,53.5,37.0,62.2
49077,0.79970922,1,风险提示,0.3414,高风险抽检,0.0259,0.0081,0.5455,结算分|存款我行占比|基础健康分,-0.695|0.3121|-0.2795,结算分,0.1165,策略调整,71.4,71.5,50.0,47.8,43.0,82.8
49078,0.97455182,1,自动通过,0.0223,,0.0057,0.0035,0.0682,基础健康分|结算分|职工人数,0.5447|0.3111|-0.1634,基础健康分,-0.0145,策略调整,83.5,70.3,50.0,76.3,70.3,35.1
49079,0.39487223,0,自动拒绝,0.1307,,0.0375,0.0122,0.6364,结算分|存款我行占比|基础健康分,-0.7247|-0.3977|-0.359,,0.0,,51.5,43.8,50.0,52.5,33.7,37.7
49080,0.90200447,1,自动通过,0.0789,,0.0173,0.0017,0.1136,基础健康分|结算分|近12个月收票金额,-0.5604|0.4265|-0.2593,基础健康分,0.0451,策略调整,67.8,37.2,50.0,89.5,67.3,32.2
49081,0.3529436,0,自动拒绝,0.2074,,0.0231,0.0922,0.6818,结算分|基础健康分|存款我行占比,-0.8337|-0.3665|-0.3482,,0.0,,65.5,45.9,50.0,52.1,43.7,42.7
49082,0.89985719,1,自动通过,0.151,,0.0217,0.0378,0.0455,基础健康分|近12个月收票金额|结算分,-0.425|-0.3218|0.2537,基础健康分,0.0527,策略调整,84.8,46.6,50.0,96.6,74.7,86.8
49083,0.97079345,1,自动通过,0.0211,,0.006,0.0021,0.1136,是否总行战略客户|基础健康分|结算分,0.3273|0.3057|0.222,近12个月收票金额,-0.0046,核验,65.5,82.2,50.0,83.8,100.0,64.2
49084,0.94479335,1,自动通过,0.0299,,0.0057,0.0084,0.0455,结算分|基础健康分|存款我行占比,0.4067|0.2364|0.1567,存款分,-0.0504,策略调整,84.9,58.3,50.0,71.1,61.5,54.8
49085,0.76222314,1,人工复核,0.4664,概率不确定|资料不足,0.0198,0.0479,0.5227,结算分|存款我行占比|基础健康分,-0.6857|0.2581|-0.2051,结算分,0.1169,策略调整,69.5,39.8,50.0,49.8,69.5,69.4
49086,0.9137295,1,自动通过,0.0671,,0.0129,0.0189,0.1364,基础健康分|missing_pattern_freq|结算分,-0.4464|-0.3513|0.295,基础健康分,0.0358,策略调整,36.3,80.6,50.0,82.4,57.4,68.4
49087,0.93966739,1,自动通过,0.0471,,0.0126,0.0062,0.0455,结算分|存款我行占比|纳税总额排名_按市_值,0.2992|0.2062|0.091,存款分,-0.037,策略调整,68.9,77.3,50.0,75.7,79.4,74.4
49088,0.44456375,0,自动拒绝,0.1468,,0.0358,0.0263,0.6818,结算分|存款我行占比|基础健康分,-0.8329|-0.4156|-0.3887,,0.0,,66.3,45.6,50.0,51.3,44.1,45.1
49089,0.87495881,1,自动通过,0.1771,,0.0216,0.0185,0.1364,基础健康分|结算分|小类_te,-0.7485|0.3443|-0.1581,基础健康分,0.0846,策略调整,74.9,66.0,50.0,71.1,85.5,36.9
49090,0.64097951,0,自动拒绝,0.3298,,0.0283,0.0329,0.5,结算分|存款分|基础健康分,-0.7927|-0.3176|-0.2215,结算分,0.2457,策略调整,74.7,59.3,50.0,52.9,42.3,70.9
49091,0.73581126,1,人工复核,0.4892,概率不确定|资料不足,0.0264,0.0109,0.5455,结算分|存款分|基础健康分,-0.7669|-0.3118|-0.2575,结算分,0.157,策略调整,74.3,73.9,50.0,51.0,68.0,56.0
49092,0.85066553,1,自动通过,0.2808,,0.0245,0.0458,0.1136,基础健康分|存款我行占比|missing_pattern_freq,0.3905|-0.2922|-0.2872,存款分,-0.0805,策略调整,42.8,8.8,50.0,91.0,55.5,74.6
49093,0.96977095,1,自动通过,0.0322,,0.0056,0.0103,0.0682,基础健康分|结算分|标签_近12个月开票金额,0.342|0.257|0.2225,最新一期年报经营活动产生的现金流量净额,0.0133,策略调整,76.1,89.9,50.0,89.6,50.5,73.1
49094,0.72963552,0,人工复核,0.6433,概率不确定,0.0563,0.0546,0.4545,结算分|基础健康分|职工人数,-0.4521|0.3759|0.2571,存款我行占比,-0.089,策略调整,46.8,25.7,50.0,51.8,48.8,100.0
49095,0.69639886,0,人工复核,0.6019,概率不确定,0.0487,0.0914,0.1136,结算分|基础健康分|存款我行占比,-0.9532|-0.4011|-0.328,结算分,0.2006,策略调整,70.5,56.4,50.0,85.4,61.6,56.3
49096,0.88265046,1,自动通过,0.1575,,0.0206,0.0188,0.5455,结算分|存款我行占比|最新一期年报营收增长率,-0.4761|0.3193|-0.2028,职工人数,-0.0294,核验,58.6,70.9,50.0,53.8,64.1,100.0
49097,0.95197585,1,自动通过,0.0457,,0.0059,0.0186,0.0682,结算分|存款分|存款我行占比,0.3997|0.1343|0.1251,基础健康分,0.0215,策略调整,87.7,68.6,50.0,100.0,82.7,55.5
49098,0.61037081,0,自动拒绝,0.2699,,0.0342,0.0266,0.5227,结算分|存款分|基础健康分,-0.8914|-0.2941|-0.2767,结算分,0.2759,策略调整,70.1,59.8,50.0,49.8,60.7,54.9
49099,0.7207506,0,人工复核,0.7516,概率不确定|模型分歧|资料不足,0.0563,0.1399,0.6136,结算分|基础健康分|存款我行占比,-0.5378|-0.2544|0.2463,存款我行占比,-0.1008,策略调整,53.9,69.6,50.0,49.7,62.5,13.3
49100,0.87164481,1,自动通过,0.2377,,0.0179,0.0614,0.0682,结算分|存款我行占比|存款分,0.339|-0.3142|-0.2682,存款我行占比,0.0557,策略调整,66.3,75.0,50.0,54.1,52.8,53.0
49101,0.90355906,1,自动通过,0.0681,,0.0092,0.0129,0.5227,结算分|存款我行占比|基础健康分,-0.6417|0.4332|-0.2996,存款分,-0.0616,策略调整,75.9,93.1,50.0,49.7,63.6,65.4
49102,0.94572517,1,自动通过,0.065,,0.0092,0.0249,0.0,结算分|最新一期年报净利率|存款我行占比,0.2463|-0.2364|0.1797,最新一期年报资产合计,-0.023,核验,83.3,77.1,50.0,49.3,60.5,59.6
49103,0.86238083,1,自动通过,0.3082,,0.0374,0.0556,0.1818,基础健康分|结算分|存款分,-0.4605|0.2905|-0.2736,存款我行占比,-0.0754,策略调整,46.1,59.8,50.0,53.5,56.9,64.7
49104,0.98369959,1,自动通过,0.0232,,0.0032,0.0092,0.0455,基础健康分|结算分|标签_近12个月开票金额,0.5201|0.3547|0.1926,,0.0,,82.9,80.8,50.0,94.4,68.9,68.3
49105,0.93545229,1,自动通过,0.0423,,0.0084,0.0113,0.5227,结算分|存款我行占比|纳税总额排名_按市_值,-0.5049|0.3421|0.172,结算分,0.0264,策略调整,77.2,79.8,50.0,54.0,100.0,100.0
49106,0.34741863,0,自动拒绝,0.2121,,0.039,0.0635,0.0682,结算分|收款对手客户数|存款分,-0.6637|-0.3826|-0.3482,,0.0,,52.9,15.2,50.0,4.8,43.8,60.4
49107,0.98950962,1,自动通过,0.0092,,0.0013,0.0036,0.0682,基础健康分|结算分|标签_近12个月开票金额,0.5551|0.3177|0.2334,,0.0,,85.9,100.0,50.0,93.2,100.0,79.7
49108,0.70589113,0,人工复核,0.5106,概率不确定|资料不足,0.0348,0.0442,0.5227,结算分|基础健康分|存款我行占比,-0.739|-0.256|0.1948,结算分,0.1617,策略调整,67.4,37.8,50.0,47.8,39.8,68.5
49109,0.93187094,1,自动通过,0.0954,,0.0148,0.0341,0.1818,基础健康分|最新一期年报营收增长率|missing_pattern_freq,-0.5045|-0.3562|-0.314,标签_近12个月开票金额,-0.0362,核验,40.6,98.9,50.0,62.7,49.3,83.1
49110,0.75723034,1,人工复核,0.4951,概率不确定|资料不足,0.0294,0.0406,0.5227,结算分|存款我行占比|基础健康分,-0.6431|0.2898|-0.2423,存款分,-0.0727,策略调整,58.0,68.5,50.0,49.7,62.8,55.5
49111,0.90027815,1,自动通过,0.12,,0.0127,0.0358,0.0455,基础健康分|结算分|存款我行占比,-0.7146|0.3277|0.1888,基础健康分,0.0516,策略调整,79.8,70.2,50.0,68.1,55.1,48.5
49112,0.89106035,1,自动通过,0.2158,,0.0198,0.0717,0.0227,基础健康分|结算分|存款我行占比,-0.5743|-0.5096|0.1571,结算分,0.0651,策略调整,81.9,73.0,50.0,100.0,86.6,53.6
49113,0.79737392,1,风险提示,0.3412,高风险抽检,0.0154,0.0254,0.5,结算分|存款我行占比|基础健康分,-0.6175|0.3047|-0.2083,结算分,0.0884,策略调整,70.4,68.2,50.0,51.5,41.0,62.7
49114,0.86973311,1,自动通过,0.2059,,0.0108,0.0515,0.5,结算分|基础健康分|存款我行占比,-0.6666|-0.2413|0.2011,结算分,0.0889,策略调整,77.6,100.0,50.0,53.8,57.6,75.4
49115,0.57518699,0,人工复核,0.5443,模型分歧,0.0761,0.1777,0.0227,基础健康分|结算分|存款分,-0.6481|-0.6246|-0.2791,最新一期年报资产合计,-0.1914,核验,79.7,67.4,50.0,40.4,26.2,61.6
49116,0.63443533,0,自动拒绝,0.3672,,0.0255,0.0731,0.5455,结算分|基础健康分|存款分,-0.768|-0.2508|-0.2422,结算分,0.2243,策略调整,70.3,60.7,50.0,47.1,80.8,36.0
49117,0.68407604,0,人工复核,0.4667,概率不确定|资料不足,0.0392,0.0385,0.5227,结算分|存款我行占比|基础健康分,-0.7364|0.3446|-0.2625,结算分,0.1771,策略调整,75.5,35.6,50.0,52.1,60.8,47.3
49118,0.94689829,1,自动通过,0.0838,,0.01,0.0359,0.0909,结算分|纳税总额排名_按市_值|存款我行占比,0.3312|0.1912|0.1643,存款分,-0.0556,策略调整,81.8,63.6,50.0,51.0,100.0,49.1
49119,0.95858342,1,自动通过,0.0693,,0.01,0.0263,0.1136,基础健康分|missing_pattern_freq|结算分,0.6078|-0.2981|0.2874,存款我行占比,0.0111,策略调整,45.9,80.2,50.0,92.2,61.7,75.0
49120,0.96536396,1,自动通过,0.0236,,0.0052,0.0054,0.0682,结算分|基础健康分|存款我行占比,0.3453|0.3368|0.1904,存款分,-0.0187,策略调整,84.5,56.5,50.0,73.1,83.1,77.5
